Date,Price,ABC,Sensex,DividendAnnounced,Sentiment,Nifty
27-04-2000,562.1,0.025729927,0.030733961,0,0.060672682,0.049607257
28-04-2000,517.15,-0.079967977,-0.049102235,0,0.032539551,-0.054450917
01-05-2000,530,0.024847723,0.025785276,0,0.084805092,0.037645425
02-05-2000,535.1,0.009622642,-0.026229172,0,-0.026114807,-0.037089622
03-05-2000,532,-0.00579331,-0.046438184,0,-0.027515076,-0.054261695
04-05-2000,554.5,0.042293233,-0.033923262,0,0.083765353,-0.021836233
05-05-2000,585,0.055004509,0.025660192,0,0.081376292,0.018746584
08-05-2000,621,0.061538462,0.004178012,0,0.027872482,0.022968617
09-05-2000,617.05,-0.006360709,0.000969237,0,0.030875008,-0.004402141
10-05-2000,610,-0.01142533,-0.009869563,0,-0.042189773,0.000903311
11-05-2000,621,0.018032787,-0.029526958,0,0.04796967,-0.045465088
12-05-2000,628.2,0.011594203,-0.036491219,0,0.094636076,-0.040806034
15-05-2000,639.5,0.017987902,0.00595891,0,0.059469673,0.002859208
16-05-2000,602,-0.058639562,-0.002507899,0,-0.064925552,-0.012127856
17-05-2000,650.15,0.079983389,0.016620696,0,0.052423308,0.012983575
18-05-2000,668.35,0.02799354,0.021425196,0,0.052149139,0.018495079
19-05-2000,672,0.00546121,0.025739893,0,0.023428411,0.021742203
22-05-2000,741,0.102678571,0.029098894,0,0.109459795,0.02740333
23-05-2000,749,0.010796221,0.028257537,0,-0.025228801,0.025039111
24-05-2000,697,-0.069425901,-0.024390959,0,-0.03521478,-0.026582096
25-05-2000,697,0,0.02959216,0,-0.072173854,0.040106937
26-05-2000,667.5,-0.042324247,0.017527905,0,-0.039647297,0.027362272
29-05-2000,668.3,0.001198502,0.013273663,0,-0.023066729,0.024352664
30-05-2000,693,0.036959449,0.002866053,0,0.009201577,-0.009477725
31-05-2000,703.8,0.015584416,0.026921674,0,0.015685234,0.024152513
01-06-2000,697.4,-0.009093492,0.000173405,0,0.030559968,-0.006290978
02-06-2000,685,-0.017780327,-0.019064916,0,0.015848976,-0.020052111
05-06-2000,690.75,0.008394161,-0.005244145,0,0.054007684,0.004501632
06-06-2000,696.65,0.00854144,0.002147285,0,0.033546251,0.007326633
07-06-2000,713.15,0.023684777,0.00609292,0,0.012352507,0.005958836
08-06-2000,721.9,0.012269509,0.023951156,0,-0.009505409,0.011467693
09-06-2000,737.7,0.021886688,0.015230855,0,0.084994147,0.011562298
12-06-2000,749.75,0.016334553,0.005511407,0,0.043464868,0.009506061
13-06-2000,725.05,-0.032944315,-0.027206563,0,0.020856281,-0.020612019
14-06-2000,742.3,0.023791463,0.013228167,0,-0.033746631,-0.007676777
15-06-2000,739.5,-0.00377206,-0.015114222,0,-0.123912933,-0.031830503
16-06-2000,721.4,-0.024475997,-0.010930385,0,-0.01013544,-0.004541354
19-06-2000,722.6,0.001663432,0.003601644,0,-0.021801484,0.010252739
20-06-2000,767.15,0.061652366,0.013204862,0,0.133075342,0.001468168
21-06-2000,800,0.04282083,0.009252864,0,0.088015783,-0.001065394
22-06-2000,794.65,-0.0066875,-0.009174293,0,-0.042361589,-0.022235446
23-06-2000,817.85,0.029195243,0.020259983,0,0.097676297,0.035008862
26-06-2000,805,-0.015711928,0.008685278,0,0.014298594,0.00539447
27-06-2000,790.4,-0.018136646,0.005125781,0,-0.023580634,0.001250284
28-06-2000,811.9,0.027201417,-0.005396866,0,0.062390112,-0.002242027
29-06-2000,816.5,0.005665722,0.004163255,0,-0.000309,0.014611358
30-06-2000,835.35,0.023086344,-0.007849668,0,0.089768946,-0.01137107
03-07-2000,851.65,0.019512779,0.006294903,0,0.045748527,0.003599136
04-07-2000,845.1,-0.007690953,0.013517569,0,0.023251386,0.039215855
05-07-2000,831.45,-0.016151935,-0.016816134,0,0.013925522,-0.020829622
06-07-2000,822.3,-0.011004871,-0.004913129,0,-0.045278336,-0.007026041
07-07-2000,779.05,-0.052596376,-0.022545616,0,-0.037568933,-0.043227094
10-07-2000,810.1,0.039856235,-0.002637277,0,0.11091781,-0.000825886
11-07-2000,786.35,-0.029317368,-0.025088705,0,0.043240019,-0.021206945
12-07-2000,769.25,-0.021746042,-0.008739149,0,-0.003976122,-0.011017629
13-07-2000,760.55,-0.011309717,-0.024479475,0,-0.045023512,-0.030957918
14-07-2000,736.65,-0.031424627,-0.061680325,0,0.018788147,-0.029310791
17-07-2000,756.85,0.027421435,0.035302769,0,-0.044187319,0.033101512
18-07-2000,731.7,-0.033229834,-0.033423274,0,0.059353988,-0.032055811
19-07-2000,733,0.001776684,0.021439802,0,-0.061629406,0.020794866
20-07-2000,754.3,0.029058663,-0.001034774,0,-0.017034215,-0.007315609
21-07-2000,741.05,-0.017565955,0.000738887,0,0.028318926,0.003149446
24-07-2000,751.5,0.014101613,-0.006114686,0,0.007614614,-0.006686011
25-07-2000,758.65,0.009514305,0.001690297,0,-0.12106522,0.0137257
26-07-2000,749.8,-0.011665458,-0.012497418,0,-0.008716744,-0.026262168
27-07-2000,764.15,0.019138437,-0.005102635,0,-0.039515911,0.000158011
28-07-2000,779.5,0.020087679,0.003604736,0,-0.046704213,-0.013009498
31-07-2000,773.3,-0.007953817,0.027603689,0,0.024949753,0.029509371
01-08-2000,768.65,-0.00601319,-4.17E-05,0,0.049065947,0.011760513
02-08-2000,769.55,0.001170884,-0.014780961,0,0.038197506,-0.01233835
03-08-2000,765.65,-0.005067897,-0.014396118,0,-0.095020519,-0.00928101
04-08-2000,814.25,0.063475478,0.009663645,0,0.184369925,0.005635818
07-08-2000,818,0.004605465,0.02201058,0,0.003802155,0.012887476
08-08-2000,802.5,-0.018948655,-0.007279797,0,-0.029226274,-4.90E-05
09-08-2000,788.7,-0.017196262,0.012309684,0,-0.015843442,-0.002415207
10-08-2000,781.8,-0.008748574,0.014384501,0,-0.028961302,0.012799926
11-08-2000,769.15,-0.016180609,0.011715428,0,-0.043018136,0.006286282
14-08-2000,776.5,0.009556003,-0.003685082,0,-0.022545792,-0.003279703
15-08-2000,769.15,-0.009465551,0.00321275,0,-0.001181519,0.001157488
16-08-2000,755.55,-0.017681857,-0.009466099,0,0.013624499,-0.012738273
17-08-2000,763.95,0.011117729,-0.004765829,0,0.025633344,-0.015933687
18-08-2000,767.7,0.004908698,0.001367211,0,-0.005415286,-0.016108341
21-08-2000,769.5,0.002344666,0.002278603,0,-0.078552385,0.01055998
22-08-2000,777.85,0.010851202,0.014837313,0,0.053123365,0.006629681
23-08-2000,772.05,-0.00745645,0.027945351,0,-0.109607316,0.021023211
24-08-2000,770.8,-0.001619066,-0.000821305,0,0.073140125,-0.012721853
25-08-2000,766.6,-0.005448884,0.001674404,0,0.016155236,0.003417222
28-08-2000,762.75,-0.005022176,0.004901929,0,0.07634522,0.015107146
29-08-2000,757.05,-0.00747296,0.008498724,0,0.076444118,-0.006878855
30-08-2000,760.9,0.005085529,0.006068629,0,0.048247522,-0.003898165
31-08-2000,833.45,0.095347615,0.014272027,0,0.107674641,0.009951922
01-09-2000,834.7,0.00149979,-0.012828452,1,-0.021322867,-0.025249688
04-09-2000,824.4,-0.012339763,-0.006507149,0,0.00292152,-0.004793412
05-09-2000,801.35,-0.027959728,-0.023446463,0,0.018538898,-0.023923591
06-09-2000,781.25,-0.025082673,-0.042953459,0,-0.010942851,-0.05065588
07-09-2000,758.3,-0.029376,-0.023376183,0,-0.02519133,-0.01660486
08-09-2000,769.55,0.014835817,0.01428357,0,0.002729899,0.014106757
11-09-2000,769.85,0.000389838,-0.015733195,0,0.054435748,-0.010566689
12-09-2000,727.2,-0.055400403,-0.052811707,0,-0.010038461,-0.052221215
13-09-2000,734.3,0.009763476,0.034994309,0,0.002704194,0.030169294
14-09-2000,734.3,0,-0.020103127,0,-0.058135088,-0.047022616
15-09-2000,734.35,6.81E-05,0.01822192,0,0.018389573,0.017106479
18-09-2000,717.45,-0.023013549,-0.023227108,0,0.025899396,-0.042349058
19-09-2000,717.2,-0.000348456,0.005654746,0,-0.064877413,0.004224469
20-09-2000,713.65,-0.004949805,0.011042984,0,-0.011812417,0.001518814
21-09-2000,724.1,0.014643032,0.006011292,0,-0.002005207,0.008887567
22-09-2000,722.45,-0.002278691,-0.010614338,0,0.022542967,-0.003341278
25-09-2000,748.45,0.03598865,-0.00578925,0,0.034164149,-0.005200151
26-09-2000,728.1,-0.027189525,-0.008882275,0,-0.017453207,-0.006900693
27-09-2000,718,-0.013871721,-0.027314617,0,0.002014485,-0.02781736
28-09-2000,721.5,0.004874652,-0.027569653,0,-0.049625968,-0.041679129
29-09-2000,745.75,0.033610534,0.002885435,0,0.041041094,-0.000658152
02-10-2000,768.9,0.031042575,-0.028238529,0,-0.016027057,-0.039412657
03-10-2000,788.3,0.025230849,-0.002744101,0,0.025831803,0.003075357
04-10-2000,756.3,-0.040593683,-0.017132114,0,-0.055862007,-0.016350818
05-10-2000,742.95,-0.017651726,-0.019417211,0,-0.110731999,-0.008997473
06-10-2000,749.45,0.008748906,0.030387102,0,0.054811728,0.033504085
09-10-2000,744.05,-0.007205284,-0.002722242,0,0.030135181,-0.021711536
10-10-2000,749,0.006652779,-0.019828041,0,-0.017044816,-0.014067825
11-10-2000,761.3,0.016421896,0.008968015,0,-0.067305628,0.007654868
12-10-2000,767.3,0.007881256,0.025087692,0,-0.04629251,0.034026063
13-10-2000,769.5,0.002867197,0.003619501,0,-0.000460934,0.004455188
16-10-2000,758,-0.014944769,-0.007463084,0,0.022072103,-0.018326763
17-10-2000,752.8,-0.006860158,-0.010643262,0,-0.017887969,-0.022512141
18-10-2000,761.75,0.011888948,0.005851852,0,0.023681287,0.007327554
19-10-2000,778.9,0.022513948,0.020886441,0,-0.015306462,0.004609415
20-10-2000,818.75,0.051161895,0.02303268,0,-0.000574432,0.035637309
23-10-2000,808.95,-0.011969466,0.015457494,0,-0.027931071,0.016199535
24-10-2000,804.25,-0.005810001,-0.001056991,0,-0.015247562,-0.002398976
25-10-2000,808.95,0.005843954,0.005923887,0,0.022065066,0.009785758
26-10-2000,791.3,-0.021818407,0.018680955,0,-0.015274115,0.015780587
27-10-2000,769.45,-0.027612789,-0.001541436,0,0.020872264,-0.011328974
30-10-2000,758.4,-0.014360907,-0.020228713,0,-0.050225867,-0.019478596
31-10-2000,755.7,-0.003560127,-0.030714541,0,-0.020133845,-0.035193328
01-11-2000,767.5,0.015614662,0.032318695,0,0.034182076,0.030447138
02-11-2000,769.4,0.00247557,0.000758202,0,0.017545754,-0.003520055
03-11-2000,756.7,-0.016506369,-0.011308669,0,-0.024084041,-0.009766367
06-11-2000,770.2,0.017840624,0.001009764,0,0.064120918,0.007257945
07-11-2000,769.95,-0.000324591,0.005294636,0,0.002444077,0.009551757
08-11-2000,780.35,0.013507371,-0.000463515,0,-0.004463101,-0.013241091
09-11-2000,784.5,0.005318126,-0.015876373,0,-0.006600863,-0.015031792
10-11-2000,779.85,-0.005927342,-0.002586481,0,-0.009487303,-0.011492729
13-11-2000,777.6,-0.00288517,0.00413768,0,0.104807202,0.007805405
14-11-2000,788.25,0.013695988,0.026073199,0,0.009929938,0.02589427
15-11-2000,802.9,0.018585474,0.013786153,0,-0.004876553,0.011690598
16-11-2000,741,-0.077095529,-0.006893775,0,-0.082139084,-0.014208554
17-11-2000,814.2,0.098785425,0.000452933,0,0.104356213,-0.01601286
20-11-2000,841.05,0.032977155,0.00849677,0,-0.039493551,0.000538256
21-11-2000,847.7,0.007906783,0.001123523,1,0.00050331,0.003373799
22-11-2000,867.4,0.023239354,0.008792292,1,0.121715558,-0.001277287
23-11-2000,861.2,-0.007147798,0.008951419,1,-0.066232676,0.032410237
24-11-2000,862.1,0.001045053,0.004011265,1,0.046963839,0.006786984
27-11-2000,856.85,-0.006089781,0.007556529,1,-0.010232339,-0.004864459
28-11-2000,873.9,0.019898465,0.017374545,0,-0.009822368,0.029978409
29-11-2000,902.1,0.032269138,-0.002083585,0,0.076816068,0.003440594
30-11-2000,918.55,0.018235229,0.01552324,0,0.036078329,0.028962354
01-12-2000,910.35,-0.008927113,-0.003390914,0,-0.008231012,0.008863259
04-12-2000,923.25,0.014170374,-0.031212167,0,0.028434019,-0.031568825
05-12-2000,992.6,0.075115083,0.007790368,1,0.143970001,0.015820539
06-12-2000,913.05,-0.080143059,-0.003945421,0,-0.068503399,-0.002153281
07-12-2000,896.35,-0.018290346,-0.016019976,0,0.050375391,-0.024404588
08-12-2000,908,0.012997155,-0.012769154,0,-0.01024181,-0.012723416
11-12-2000,893.95,-0.015473568,-0.031810283,0,-0.007795835,-0.037333521
12-12-2000,872,-0.024553946,-0.020246294,0,-0.011514045,-0.032499021
13-12-2000,872.65,0.000745413,0.013256437,0,0.016817964,0.002955006
14-12-2000,894.55,0.025095972,0.01424353,0,0.048580798,0.023067852
